sample,strain,growthcondition,rfu,exp,rfu_exp
8_1,Pa299R::Tn7,NB+Cm,93,100,0.93
8_1,Pa299R::Tn7,NB+Cm,109,100,1.09
8_1,Pa299R::Tn7,NB+Cm,122,100,1.22
8_1,Pa299R::Tn7,NB+Cm,91,100,0.91
8_1,Pa299R::Tn7,NB+Cm,88,100,0.88
8_1,Pa299R::Tn7,NB+Cm,98,100,0.98
8_1,Pa299R::Tn7,NB+Cm,84,100,0.84
8_1,Pa299R::Tn7,NB+Cm,119,100,1.19
8_1,Pa299R::Tn7,NB+Cm,108,100,1.08
8_1,Pa299R::Tn7,NB+Cm,104,100,1.04
8_1,Pa299R::Tn7,NB+Cm,88,100,0.88
8_1,Pa299R::Tn7,NB+Cm,96,100,0.96
8_1,Pa299R::Tn7,NB+Cm,127,100,1.27
8_1,Pa299R::Tn7,NB+Cm,99,100,0.99
8_1,Pa299R::Tn7,NB+Cm,113,100,1.13
8_1,Pa299R::Tn7,NB+Cm,90,100,0.9
8_1,Pa299R::Tn7,NB+Cm,92,100,0.92
8_1,Pa299R::Tn7,NB+Cm,101,100,1.01
8_1,Pa299R::Tn7,NB+Cm,76,100,0.76
8_1,Pa299R::Tn7,NB+Cm,138,100,1.38
8_1,Pa299R::Tn7,NB+Cm,91,100,0.91
8_1,Pa299R::Tn7,NB+Cm,124,100,1.24
8_1,Pa299R::Tn7,NB+Cm,91,100,0.91
8_1,Pa299R::Tn7,NB+Cm,90,100,0.9
8_1,Pa299R::Tn7,NB+Cm,75,100,0.75
8_1,Pa299R::Tn7,NB+Cm,115,100,1.15
8_1,Pa299R::Tn7,NB+Cm,124,100,1.24
8_1,Pa299R::Tn7,NB+Cm,74,100,0.74
8_1,Pa299R::Tn7,NB+Cm,74,100,0.74
8_1,Pa299R::Tn7,NB+Cm,97,100,0.97
8_1,Pa299R::Tn7,NB+Cm,100,100,1
8_1,Pa299R::Tn7,NB+Cm,120,100,1.2
8_1,Pa299R::Tn7,NB+Cm,94,100,0.94
8_1,Pa299R::Tn7,NB+Cm,92,100,0.92
8_1,Pa299R::Tn7,NB+Cm,86,100,0.86
8_1,Pa299R::Tn7,NB+Cm,90,100,0.9
8_1,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,95,100,0.95
8_2,Pa299R::Tn7,NB+Cm,87,100,0.87
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,71,100,0.71
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,105,100,1.05
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,75,100,0.75
8_2,Pa299R::Tn7,NB+Cm,97,100,0.97
8_2,Pa299R::Tn7,NB+Cm,76,100,0.76
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,98,100,0.98
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,75,100,0.75
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,115,100,1.15
8_2,Pa299R::Tn7,NB+Cm,117,100,1.17
8_2,Pa299R::Tn7,NB+Cm,107,100,1.07
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,108,100,1.08
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,101,100,1.01
8_2,Pa299R::Tn7,NB+Cm,95,100,0.95
8_2,Pa299R::Tn7,NB+Cm,110,100,1.1
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,79,100,0.79
8_2,Pa299R::Tn7,NB+Cm,99,100,0.99
8_2,Pa299R::Tn7,NB+Cm,105,100,1.05
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,106,100,1.06
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,76,100,0.76
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,79,100,0.79
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,102,100,1.02
8_2,Pa299R::Tn7,NB+Cm,82,100,0.82
8_2,Pa299R::Tn7,NB+Cm,100,100,1
8_2,Pa299R::Tn7,NB+Cm,97,100,0.97
8_2,Pa299R::Tn7,NB+Cm,99,100,0.99
8_2,Pa299R::Tn7,NB+Cm,98,100,0.98
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,88,100,0.88
8_2,Pa299R::Tn7,NB+Cm,98,100,0.98
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,107,100,1.07
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,79,100,0.79
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,100,100,1
8_2,Pa299R::Tn7,NB+Cm,101,100,1.01
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,101,100,1.01
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,99,100,0.99
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,93,100,0.93
8_2,Pa299R::Tn7,NB+Cm,87,100,0.87
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,91,100,0.91
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,101,100,1.01
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,71,100,0.71
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,104,100,1.04
8_2,Pa299R::Tn7,NB+Cm,97,100,0.97
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,120,100,1.2
8_2,Pa299R::Tn7,NB+Cm,102,100,1.02
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,97,100,0.97
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,91,100,0.91
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,96,100,0.96
8_2,Pa299R::Tn7,NB+Cm,109,100,1.09
8_2,Pa299R::Tn7,NB+Cm,74,100,0.74
8_2,Pa299R::Tn7,NB+Cm,88,100,0.88
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,93,100,0.93
8_2,Pa299R::Tn7,NB+Cm,76,100,0.76
8_2,Pa299R::Tn7,NB+Cm,88,100,0.88
8_2,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,91,100,0.91
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,112,100,1.12
8_2,Pa299R::Tn7,NB+Cm,97,100,0.97
8_2,Pa299R::Tn7,NB+Cm,102,100,1.02
8_2,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,89,100,0.89
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,134,100,1.34
8_2,Pa299R::Tn7,NB+Cm,103,100,1.03
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,95,100,0.95
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,88,100,0.88
8_2,Pa299R::Tn7,NB+Cm,76,100,0.76
8_2,Pa299R::Tn7,NB+Cm,95,100,0.95
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,106,100,1.06
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,93,100,0.93
8_2,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,95,100,0.95
8_2,Pa299R::Tn7,NB+Cm,128,100,1.28
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,73,100,0.73
8_2,Pa299R::Tn7,NB+Cm,88,100,0.88
8_2,Pa299R::Tn7,NB+Cm,85,100,0.85
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,83,100,0.83
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,82,100,0.82
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_2,Pa299R::Tn7,NB+Cm,75,100,0.75
8_2,Pa299R::Tn7,NB+Cm,90,100,0.9
8_2,Pa299R::Tn7,NB+Cm,73,100,0.73
8_2,Pa299R::Tn7,NB+Cm,84,100,0.84
8_2,Pa299R::Tn7,NB+Cm,92,100,0.92
8_2,Pa299R::Tn7,NB+Cm,100,100,1
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,107,100,1.07
8_2,Pa299R::Tn7,NB+Cm,110,100,1.1
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,78,100,0.78
8_2,Pa299R::Tn7,NB+Cm,81,100,0.81
8_2,Pa299R::Tn7,NB+Cm,80,100,0.8
8_2,Pa299R::Tn7,NB+Cm,87,100,0.87
8_2,Pa299R::Tn7,NB+Cm,86,100,0.86
8_2,Pa299R::Tn7,NB+Cm,71,100,0.71
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,69,100,0.69
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,87,100,0.87
8_2,Pa299R::Tn7,NB+Cm,70,100,0.7
8_2,Pa299R::Tn7,NB+Cm,91,100,0.91
8_2,Pa299R::Tn7,NB+Cm,94,100,0.94
8_2,Pa299R::Tn7,NB+Cm,72,100,0.72
8_2,Pa299R::Tn7,NB+Cm,77,100,0.77
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,72,100,0.72
8_3,Pa299R::Tn7,NB+Cm,59,100,0.59
8_3,Pa299R::Tn7,NB+Cm,59,100,0.59
8_3,Pa299R::Tn7,NB+Cm,81,100,0.81
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,95,100,0.95
8_3,Pa299R::Tn7,NB+Cm,81,100,0.81
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,88,100,0.88
8_3,Pa299R::Tn7,NB+Cm,72,100,0.72
8_3,Pa299R::Tn7,NB+Cm,77,100,0.77
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,74,100,0.74
8_3,Pa299R::Tn7,NB+Cm,68,100,0.68
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,99,100,0.99
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,81,100,0.81
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,95,100,0.95
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,91,100,0.91
8_3,Pa299R::Tn7,NB+Cm,97,100,0.97
8_3,Pa299R::Tn7,NB+Cm,95,100,0.95
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,78,100,0.78
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,78,100,0.78
8_3,Pa299R::Tn7,NB+Cm,68,100,0.68
8_3,Pa299R::Tn7,NB+Cm,106,100,1.06
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,64,100,0.64
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,59,100,0.59
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,67,100,0.67
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,74,100,0.74
8_3,Pa299R::Tn7,NB+Cm,93,100,0.93
8_3,Pa299R::Tn7,NB+Cm,62,100,0.62
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,88,100,0.88
8_3,Pa299R::Tn7,NB+Cm,71,100,0.71
8_3,Pa299R::Tn7,NB+Cm,78,100,0.78
8_3,Pa299R::Tn7,NB+Cm,97,100,0.97
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,61,100,0.61
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,72,100,0.72
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,87,100,0.87
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,119,100,1.19
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,101,100,1.01
8_3,Pa299R::Tn7,NB+Cm,59,100,0.59
8_3,Pa299R::Tn7,NB+Cm,64,100,0.64
8_3,Pa299R::Tn7,NB+Cm,105,100,1.05
8_3,Pa299R::Tn7,NB+Cm,61,100,0.61
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,102,100,1.02
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,124,100,1.24
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,72,100,0.72
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,61,100,0.61
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,97,100,0.97
8_3,Pa299R::Tn7,NB+Cm,74,100,0.74
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,92,100,0.92
8_3,Pa299R::Tn7,NB+Cm,80,100,0.8
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,87,100,0.87
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,91,100,0.91
8_3,Pa299R::Tn7,NB+Cm,62,100,0.62
8_3,Pa299R::Tn7,NB+Cm,66,100,0.66
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,91,100,0.91
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,71,100,0.71
8_3,Pa299R::Tn7,NB+Cm,77,100,0.77
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,67,100,0.67
8_3,Pa299R::Tn7,NB+Cm,98,100,0.98
8_3,Pa299R::Tn7,NB+Cm,101,100,1.01
8_3,Pa299R::Tn7,NB+Cm,77,100,0.77
8_3,Pa299R::Tn7,NB+Cm,68,100,0.68
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,77,100,0.77
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,66,100,0.66
8_3,Pa299R::Tn7,NB+Cm,64,100,0.64
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,106,100,1.06
8_3,Pa299R::Tn7,NB+Cm,67,100,0.67
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,59,100,0.59
8_3,Pa299R::Tn7,NB+Cm,60,100,0.6
8_3,Pa299R::Tn7,NB+Cm,74,100,0.74
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,65,100,0.65
8_3,Pa299R::Tn7,NB+Cm,78,100,0.78
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,92,100,0.92
8_3,Pa299R::Tn7,NB+Cm,91,100,0.91
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,73,100,0.73
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,67,100,0.67
8_3,Pa299R::Tn7,NB+Cm,79,100,0.79
8_3,Pa299R::Tn7,NB+Cm,92,100,0.92
8_3,Pa299R::Tn7,NB+Cm,80,100,0.8
8_3,Pa299R::Tn7,NB+Cm,80,100,0.8
8_3,Pa299R::Tn7,NB+Cm,69,100,0.69
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,62,100,0.62
8_3,Pa299R::Tn7,NB+Cm,88,100,0.88
8_3,Pa299R::Tn7,NB+Cm,61,100,0.61
8_3,Pa299R::Tn7,NB+Cm,85,100,0.85
8_3,Pa299R::Tn7,NB+Cm,70,100,0.7
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,76,100,0.76
8_3,Pa299R::Tn7,NB+Cm,61,100,0.61
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,95,100,0.95
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,84,100,0.84
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,90,100,0.9
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,92,100,0.92
8_3,Pa299R::Tn7,NB+Cm,71,100,0.71
8_3,Pa299R::Tn7,NB+Cm,83,100,0.83
8_3,Pa299R::Tn7,NB+Cm,71,100,0.71
8_3,Pa299R::Tn7,NB+Cm,75,100,0.75
8_3,Pa299R::Tn7,NB+Cm,89,100,0.89
8_3,Pa299R::Tn7,NB+Cm,79,100,0.79
8_3,Pa299R::Tn7,NB+Cm,82,100,0.82
8_3,Pa299R::Tn7,NB+Cm,68,100,0.68
8_3,Pa299R::Tn7,NB+Cm,72,100,0.72
8_3,Pa299R::Tn7,NB+Cm,73,100,0.73
8_3,Pa299R::Tn7,NB+Cm,86,100,0.86
8_3,Pa299R::Tn7,NB+Cm,99,100,0.99
8_3,Pa299R::Tn7,NB+Cm,74,100,0.74