species,area,mean fl,exp time,fl/exp,milifl/exp
ec_pMRE145,1.764,43.318,50,0.86636,866.36
ec_pMRE145,1.154,49.129,50,0.98258,982.58
ec_pMRE145,1.352,84.64,50,1.6928,1692.8
ec_pMRE145,1.781,80.222,50,1.60444,1604.44
ec_pMRE145,1.558,85.016,50,1.70032,1700.32
ec_pMRE145,1.74,71.668,50,1.43336,1433.36
ec_pMRE145,1.575,91.288,50,1.82576,1825.76
ec_pMRE145,1.872,105.374,50,2.10748,2107.48
ec_pMRE145,1.055,90.727,50,1.81454,1814.54
ec_pMRE145,1.599,70.861,50,1.41722,1417.22
ec_pMRE145,1.575,141.455,50,2.8291,2829.1
ec_pMRE145,1.954,92.717,50,1.85434,1854.34
ec_pMRE145,1.212,79.279,50,1.58558,1585.58
ec_pMRE145,1.352,161.134,50,3.22268,3222.68
ec_pMRE145,1.641,102.447,50,2.04894,2048.94
ec_pMRE145,1.534,108.269,50,2.16538,2165.38
ec_pMRE145,1.872,125.868,50,2.51736,2517.36
ec_pMRE145,1.814,74.65,50,1.493,1493
ec_pMRE145,1.542,78.15,50,1.563,1563
ec_pMRE145,1.468,102.876,50,2.05752,2057.52
ec_pMRE145,1.402,104.8,50,2.096,2096
ec_pMRE145,1.113,112.674,50,2.25348,2253.48
ec_pMRE145,1.468,137.657,50,2.75314,2753.14
ec_pMRE145,1.707,102.749,50,2.05498,2054.98
ec_pMRE145,1.369,105.777,50,2.11554,2115.54
ec_pMRE145,1.212,134.122,50,2.68244,2682.44
ec_pMRE145,1.121,128.412,50,2.56824,2568.24
ec_pMRE145,1.327,85.012,50,1.70024,1700.24
ec_pMRE145,1.36,100.455,50,2.0091,2009.1
ec_pMRE145,1.344,83.313,50,1.66626,1666.26
ec_pMRE145,1.822,88.674,50,1.77348,1773.48
ec_pMRE145,1.418,144.023,50,2.88046,2880.46
ec_pMRE145,1.22,81.649,50,1.63298,1632.98
ec_pMRE145,1.336,78.71,50,1.5742,1574.2
ec_pMRE145,1.36,42.545,50,0.8509,850.9
ec_pMRE145,1.261,1.065,50,0.0213,21.3
ec_pMRE145,1.088,72.894,50,1.45788,1457.88
ec_pMRE145,1.756,59.934,50,1.19868,1198.68
ec_pMRE145,1.74,68.118,50,1.36236,1362.36
ec_pMRE145,1.228,112.523,50,2.25046,2250.46
ec_pMRE145,1.154,87.2,50,1.744,1744
ec_pMRE145,1.319,87.075,50,1.7415,1741.5
ec_pMRE145,1.105,125.343,50,2.50686,2506.86
ec_pMRE145,1.303,63.848,50,1.27696,1276.96
ec_pMRE145,1.014,194.789,50,3.89578,3895.78
ec_pMRE145,1.121,54.096,50,1.08192,1081.92
ec_pMRE145,1.303,148.304,50,2.96608,2966.08
ec_pMRE145,1.294,121.248,50,2.42496,2424.96
ec_pMRE145,1.591,28.528,50,0.57056,570.56
ec_pMRE145,1.204,38.007,50,0.76014,760.14
ec_pMRE145,1.344,105.92,50,2.1184,2118.4
ec_pMRE145,1.426,79.064,50,1.58128,1581.28
ec_pMRE145,1.154,118.714,50,2.37428,2374.28
ec_pMRE145,1.105,26.134,50,0.52268,522.68
ec_pMRE145,1.525,97.303,50,1.94606,1946.06
ec_pMRE145,1.649,130.99,50,2.6198,2619.8
ec_pMRE145,1.237,20.067,50,0.40134,401.34
ec_pMRE145,1.113,136.926,50,2.73852,2738.52
ec_pMRE145,1.105,41.433,50,0.82866,828.66
ec_pMRE145,1.707,44.082,50,0.88164,881.64
ec_pMRE145,1.237,14.567,50,0.29134,291.34
ec_pMRE145,1.088,20.523,50,0.41046,410.46
ec_pMRE145,1.022,11.097,50,0.22194,221.94
ec_pMRE145,1.237,23.38,50,0.4676,467.6
ec_pMRE145,1.418,121.977,50,2.43954,2439.54
ec_pMRE145,1.352,22.427,50,0.44854,448.54
ec_pMRE145,1.088,49.136,50,0.98272,982.72
ec_pMRE145,1.88,37.518,50,0.75036,750.36
ec_pMRE145,1.905,121.996,50,2.43992,2439.92
ec_pMRE145,1.542,118.759,50,2.37518,2375.18
ec_pMRE145,1.781,138.625,50,2.7725,2772.5
ec_pMRE145,1.657,28.035,50,0.5607,560.7
ec_pMRE145,1.311,68.113,50,1.36226,1362.26
ec_pMRE145,1.336,17.975,50,0.3595,359.5
ec_pMRE145,1.146,77.705,50,1.5541,1554.1
ec_pMRE145,1.451,27.239,50,0.54478,544.78
ec_pMRE145,1.797,77.115,50,1.5423,1542.3
ec_pMRE145,1.187,52.507,50,1.05014,1050.14
ec_pMRE145,1.031,27.392,50,0.54784,547.84
ec_pMRE145,1.344,81.693,50,1.63386,1633.86
ec_pMRE145,1.872,87.881,50,1.75762,1757.62
ec_pMRE145,1.616,55.571,50,1.11142,1111.42
ec_pMRE145,1.105,25.321,50,0.50642,506.42
ec_pMRE145,1.228,26.168,50,0.52336,523.36
ec_pMRE145,1.534,72.946,50,1.45892,1458.92
ec_tn5,1.55,63.862,100,0.63862,638.62
ec_tn5,2.622,37.305,100,0.37305,373.05
ec_tn5,1.773,45.051,100,0.45051,450.51
ec_tn5,1.608,32.672,100,0.32672,326.72
ec_tn5,1.665,8.262,100,0.08262,82.62
ec_tn5,1.08,27.13,100,0.2713,271.3
ec_tn5,1.789,48.853,100,0.48853,488.53
ec_tn5,1.22,47.899,100,0.47899,478.99
ec_tn5,1.616,58.903,100,0.58903,589.03
ec_tn5,1.979,75.283,100,0.75283,752.83
ec_tn5,1.74,48.569,100,0.48569,485.69
ec_tn5,1.303,139.373,100,1.39373,1393.73
ec_tn5,2.251,44.586,100,0.44586,445.86
ec_tn5,1.138,48.543,100,0.48543,485.43
ec_tn5,1.402,40.618,100,0.40618,406.18
ec_tn5,1.294,95.096,100,0.95096,950.96
ec_tn5,1.517,26.332,100,0.26332,263.32
ec_tn5,1.698,48.578,100,0.48578,485.78
ec_tn5,1.657,34.522,100,0.34522,345.22
ec_tn5,1.492,89.017,100,0.89017,890.17
ec_tn5,2.16,55.229,100,0.55229,552.29
ec_tn5,1.781,55.273,100,0.55273,552.73
ec_tn5,2.424,76.265,100,0.76265,762.65
ec_tn5,1.327,65.342,100,0.65342,653.42
ec_tn5,1.575,45.921,100,0.45921,459.21
ec_tn5,1.195,151.634,100,1.51634,1516.34
ec_tn5,2.828,49.927,100,0.49927,499.27
ec_tn5,1.55,103.851,100,1.03851,1038.51
ec_tn5,1.542,29.914,100,0.29914,299.14
ec_tn5,1.542,59.684,100,0.59684,596.84
ec_tn5,1.336,52.444,100,0.52444,524.44
ec_tn5,1.27,61.331,100,0.61331,613.31
ec_tn5,2.985,84.406,100,0.84406,844.06
ec_tn5,2.465,76.177,100,0.76177,761.77
ec_tn5,1.245,48.152,100,0.48152,481.52
ec_tn5,1.195,8.49,100,0.0849,84.9
ec_tn5,1.649,105.68,100,1.0568,1056.8
ec_tn5,1.962,70.954,100,0.70954,709.54
ec_tn5,1.311,77.66,100,0.7766,776.6
ec_tn5,1.377,27.731,100,0.27731,277.31
ec_tn5,1.566,65.432,100,0.65432,654.32
ec_tn5,2.259,57.223,100,0.57223,572.23
ec_tn5,2.243,41.445,100,0.41445,414.45
ec_tn5,1.987,29.548,100,0.29548,295.48
ec_tn5,1.286,66.026,100,0.66026,660.26
ec_tn5,1.228,36.94,100,0.3694,369.4
ec_tn5,2.424,27.16,100,0.2716,271.6
ec_tn5,2.045,63.383,100,0.63383,633.83
ec_tn5,1.773,68.595,100,0.68595,685.95
ec_tn5,1.55,117.404,100,1.17404,1174.04
ec_tn5,2.243,76.309,100,0.76309,763.09
ec_tn5,2.086,28.534,100,0.28534,285.34
ec_tn5,1.921,83.468,100,0.83468,834.68
ec_tn5,1.509,85.918,100,0.85918,859.18
ec_tn5,1.558,9.677,100,0.09677,96.77
ec_tn5,1.393,40.769,100,0.40769,407.69
ec_tn5,1.286,95.141,100,0.95141,951.41
ec_tn5,1.558,49.81,100,0.4981,498.1
ec_tn5,2.028,42.248,100,0.42248,422.48
ec_tn5,1.039,75.262,100,0.75262,752.62
ec_tn5,1.278,97.187,100,0.97187,971.87
ec_tn7,1.27,113.708,200,0.56854,568.54
ec_tn7,1.228,140.832,200,0.70416,704.16
ec_tn7,1.872,113.084,200,0.56542,565.42
ec_tn7,1.319,73.744,200,0.36872,368.72
ec_tn7,1.863,99.73,200,0.49865,498.65
ec_tn7,1.385,67.637,200,0.338185,338.185
ec_tn7,1.509,167.361,200,0.836805,836.805
ec_tn7,1.336,126.093,200,0.630465,630.465
ec_tn7,1.937,87.655,200,0.438275,438.275
ec_tn7,1.476,155.609,200,0.778045,778.045
ec_tn7,1.855,92.893,200,0.464465,464.465
ec_tn7,1.863,132.942,200,0.66471,664.71
ec_tn7,1.402,59.265,200,0.296325,296.325
ec_tn7,1.154,82.679,200,0.413395,413.395
ec_tn7,1.286,65.808,200,0.32904,329.04
ec_tn7,1.278,97.555,200,0.487775,487.775
ec_tn7,1.665,46.46,200,0.2323,232.3
ec_tn7,1.179,51.105,200,0.255525,255.525
ec_tn7,0.973,48.822,200,0.24411,244.11
ec_tn7,1.624,170.995,200,0.854975,854.975
ec_tn7,1.393,106.467,200,0.532335,532.335
ec_tn7,1.171,162.021,200,0.810105,810.105
ec_tn7,1.311,83.698,200,0.41849,418.49
ec_tn7,1.806,32.744,200,0.16372,163.72
ec_tn7,1.237,66.613,200,0.333065,333.065
ec_tn7,1.237,89.507,200,0.447535,447.535
ec_tn7,1.377,125.018,200,0.62509,625.09
ec_tn7,1.913,94.073,200,0.470365,470.365
ec_tn7,1.303,111.348,200,0.55674,556.74
ec_tn7,1.476,90.363,200,0.451815,451.815
ec_tn7,1.509,26.142,200,0.13071,130.71
ec_tn7,1.212,109.177,200,0.545885,545.885
ec_tn7,1.311,119.522,200,0.59761,597.61
ec_tn7,1.476,42,200,0.21,210
ec_tn7,1.014,66.366,200,0.33183,331.83
brad396_tn5,4.716,99.201,300,0.33067,330.67
brad396_tn5,2.482,74.159,300,0.247196667,247.1966667
brad396_tn5,3.422,115.624,300,0.385413333,385.4133333
brad396_tn5,3.306,43.613,300,0.145376667,145.3766667
brad396_tn5,2.391,57.528,300,0.19176,191.76
brad396_tn5,2.028,63.854,300,0.212846667,212.8466667
brad396_tn5,1.039,3.198,300,0.01066,10.66
brad396_tn5,3.611,98.13,300,0.3271,327.1
brad396_tn5,3.595,104.706,300,0.34902,349.02
brad396_tn5,3.85,68.128,300,0.227093333,227.0933333
brad396_tn5,2.259,72.482,300,0.241606667,241.6066667
brad396_tn5,2.745,35.655,300,0.11885,118.85
brad396_tn5,3.389,55.47,300,0.1849,184.9
brad396_tn5,1.888,4.62,300,0.0154,15.4
brad396_tn5,5.532,46.35,300,0.1545,154.5
brad396_tn5,2.564,28.669,300,0.095563333,95.56333333
brad396_tn5,4.724,64.635,300,0.21545,215.45
brad396_tn5,2.589,36.927,300,0.12309,123.09
brad396_tn5,4.106,128.012,300,0.426706667,426.7066667
brad396_tn5,3.24,157.359,300,0.52453,524.53
brad396_tn5,2.539,54.782,300,0.182606667,182.6066667
brad396_tn5,5.013,82.757,300,0.275856667,275.8566667
brad396_tn5,5.178,35.368,300,0.117893333,117.8933333
brad396_tn5,1.863,3.735,300,0.01245,12.45
brad396_tn5,2.21,47.899,300,0.159663333,159.6633333
brad396_tn5,1.476,3.715,300,0.012383333,12.38333333
brad396_tn5,3.314,67.149,300,0.22383,223.83
brad396_tn5,2.63,107.915,300,0.359716667,359.7166667
brad396_tn5,1.806,51.685,300,0.172283333,172.2833333
brad396_tn5,2.729,48.613,300,0.162043333,162.0433333
brad396_tn5,2.276,78.12,300,0.2604,260.4
brad396_tn5,5.664,132.068,300,0.440226667,440.2266667
brad396_tn5,2.886,60.291,300,0.20097,200.97
brad396_tn5,4.139,182.261,300,0.607536667,607.5366667
brad396_tn5,3.727,56.252,300,0.187506667,187.5066667
brad396_tn5,4.881,129.061,300,0.430203333,430.2033333
brad396_tn5,3.71,112.496,300,0.374986667,374.9866667
brad396_tn5,2.3,145.075,300,0.483583333,483.5833333
brad396_tn5,3.339,131.499,300,0.43833,438.33
brad396_tn5,2.976,54.679,300,0.182263333,182.2633333
brad396_tn5,3.331,41.163,300,0.13721,137.21
brad396_tn5,3.413,86.87,300,0.289566667,289.5666667
brad396_tn5,5.178,48.033,300,0.16011,160.11
brad396_tn5,1.921,77.567,300,0.258556667,258.5566667
brad396_tn5,4.081,67.255,300,0.224183333,224.1833333
brad396_tn5,5.681,152.197,300,0.507323333,507.3233333
brad396_tn5,2.234,96.125,300,0.320416667,320.4166667
brad396_tn5,2.811,145.504,300,0.485013333,485.0133333
brad396_tn5,2.96,20.641,300,0.068803333,68.80333333
brad396_tn5,3.512,111.204,300,0.37068,370.68
brad396_tn5,3.265,128.639,300,0.428796667,428.7966667
brad396_tn5,1.682,25.402,300,0.084673333,84.67333333
brad396_tn5,2.036,96.255,300,0.32085,320.85
brad396_tn5,2.259,109.343,300,0.364476667,364.4766667
brad396_tn5,1.245,112.53,300,0.3751,375.1
brad396_tn5,5.738,38.444,300,0.128146667,128.1466667
brad396_tn5,2.68,15.772,300,0.052573333,52.57333333
brad396_tn5,3.619,97.112,300,0.323706667,323.7066667
brad396_tn5,2.729,29.278,300,0.097593333,97.59333333
brad396_tn5,4.469,173.666,300,0.578886667,578.8866667
brad396_tn5,2.473,150.157,300,0.500523333,500.5233333
brad396_tn5,2.201,107.307,300,0.35769,357.69
brad396_tn5,4.444,97.091,300,0.323636667,323.6366667
brad396_tn5,3.339,55.988,300,0.186626667,186.6266667
brad396_tn5,2.276,102.906,300,0.34302,343.02
brad396_tn5,3.207,24.653,300,0.082176667,82.17666667
brad396_tn5,4.815,25.94,300,0.086466667,86.46666667
brad396_tn5,3.149,42.463,300,0.141543333,141.5433333
brad396_tn5,3.867,92.416,300,0.308053333,308.0533333
brad396_tn5,2.605,67.275,300,0.22425,224.25
brad396_tn5,3.669,148.526,300,0.495086667,495.0866667
brad396_tn5,2.416,47.485,300,0.158283333,158.2833333
brad396_tn5,2.803,40.362,300,0.13454,134.54
brad396_tn5,2.391,80.4,300,0.268,268
brad396_tn5,1.748,64.075,300,0.213583333,213.5833333
brad396_tn5,3.347,75.527,300,0.251756667,251.7566667
brad396_tn5,3.512,70.371,300,0.23457,234.57
brad396_tn5,4.708,44.59,300,0.148633333,148.6333333
brad396_tn5,3.999,54.592,300,0.181973333,181.9733333
brad396_tn5,3.982,83.151,300,0.27717,277.17
brad396_tn5,3.43,70.748,300,0.235826667,235.8266667
ea_pMRE,1.451,74.403,50,1.48806,1488.06
ea_pMRE,1.748,92.052,50,1.84104,1841.04
ea_pMRE,1.105,79.127,50,1.58254,1582.54
ea_pMRE,1.294,84.554,50,1.69108,1691.08
ea_pMRE,1.377,164.76,50,3.2952,3295.2
ea_pMRE,1.171,80.106,50,1.60212,1602.12
ea_pMRE,1.072,138.862,50,2.77724,2777.24
ea_pMRE,1.138,153.319,50,3.06638,3066.38
ea_pMRE,1.146,78.871,50,1.57742,1577.42
ea_pMRE,1.41,98.058,50,1.96116,1961.16
ea_pMRE,1.08,94.779,50,1.89558,1895.58
ea_pMRE,1.962,103.294,50,2.06588,2065.88
ea_pMRE,1.764,56.154,50,1.12308,1123.08
ea_pMRE,1.336,71.463,50,1.42926,1429.26
ea_pMRE,1.072,71.677,50,1.43354,1433.54
ea_pMRE,1.278,206.026,100,2.06026,2060.26
ea_pMRE,1.253,186.599,100,1.86599,1865.99
ea_pMRE,1.113,211.904,100,2.11904,2119.04
ea_pMRE,1.138,212.812,100,2.12812,2128.12
ea_pMRE,1.179,204.224,100,2.04224,2042.24
ea_pMRE,1.204,216.616,100,2.16616,2166.16
ea_pMRE,1.624,185.396,100,1.85396,1853.96
ea_pMRE,1.253,233.658,100,2.33658,2336.58
ea_pMRE,1.591,182.668,100,1.82668,1826.68
ea_pMRE,1.047,171.677,100,1.71677,1716.77
ea_pMRE,1.195,95.841,50,1.91682,1916.82
ea_pMRE,0.899,62.596,50,1.25192,1251.92
ea_pMRE,1.088,136.227,50,2.72454,2724.54
ea_pMRE,0.981,41.471,50,0.82942,829.42
ea_pMRE,1.286,49.128,50,0.98256,982.56
ea_pMRE,1.575,198.346,50,3.96692,3966.92
ea_pMRE,1.113,61.444,50,1.22888,1228.88
ea_pMRE,0.882,72.234,50,1.44468,1444.68
ea_pMRE,1.286,209.474,50,4.18948,4189.48
ea_pMRE,0.923,89.839,50,1.79678,1796.78
ea_pMRE,1.204,79.479,50,1.58958,1589.58
ea_pMRE,0.8,114.186,50,2.28372,2283.72
ea_pMRE,0.734,134.337,50,2.68674,2686.74
ea_pMRE,0.89,115.815,50,2.3163,2316.3
ea_pMRE,0.923,74.741,50,1.49482,1494.82
ea_pMRE,1.146,70.381,50,1.40762,1407.62
ea_pMRE,0.857,163.644,50,3.27288,3272.88
ea_pMRE,1.072,37.554,50,0.75108,751.08
ea_pMRE,0.833,29.941,50,0.59882,598.82
ea_pMRE,0.899,59.862,50,1.19724,1197.24
ea_tn5,1.698,16.801,100,0.16801,168.01
ea_tn5,1.278,17.381,100,0.17381,173.81
ea_tn5,1.402,34.606,100,0.34606,346.06
ea_tn5,0.783,0.937,100,0.00937,9.37
ea_tn5,1.451,12.312,100,0.12312,123.12
ea_tn5,0.874,1.16,100,0.0116,11.6
ea_tn5,0.561,31.971,100,0.31971,319.71
ea_tn5,1.789,13.295,100,0.13295,132.95
ea_tn5,1.443,33.457,100,0.33457,334.57
ea_tn5,1.237,21.433,100,0.21433,214.33
ea_tn5,1.179,31.79,100,0.3179,317.9
ea_tn5,1.162,16.872,100,0.16872,168.72
ea_tn5,1.097,5.301,100,0.05301,53.01
ea_tn5,1.525,21.211,100,0.21211,212.11
ea_tn5,1.088,24.318,100,0.24318,243.18
ea_tn5,0.857,25.769,100,0.25769,257.69
ea_tn5,1.113,40.052,100,0.40052,400.52
ea_tn5,1.451,15.614,100,0.15614,156.14
ea_tn5,1.723,11.129,100,0.11129,111.29
ea_tn5,1.764,9.869,100,0.09869,98.69
ea_tn5,0.668,0.963,100,0.00963,9.63
ea_tn5,0.783,0.926,100,0.00926,9.26
ea_tn5,1.55,9.096,100,0.09096,90.96
ea_tn5,1.27,10.325,100,0.10325,103.25
ea_tn5,1.228,9.725,100,0.09725,97.25
ea_tn5,1.599,16.753,100,0.16753,167.53
ea_tn5,1.162,11.099,100,0.11099,110.99
ea_tn5,1.22,69.831,100,0.69831,698.31
ea_tn5,1.36,188.194,100,1.88194,1881.94
ea_tn5,1.385,60.143,100,0.60143,601.43
ea_tn5,1.138,157.449,100,1.57449,1574.49
ea_tn5,1.253,104.822,100,1.04822,1048.22
ea_tn5,1.352,62.457,100,0.62457,624.57
ea_tn5,1.055,111.203,100,1.11203,1112.03
ea_tn5,1.294,94.567,100,0.94567,945.67
ea_tn5,2.259,146.277,100,1.46277,1462.77
ea_tn5,1.319,76.1,100,0.761,761
ea_tn5,1.088,4.462,100,0.04462,44.62
ea_tn5,1.426,69.445,100,0.69445,694.45
ea_tn5,1.558,91.704,100,0.91704,917.04
ea_tn5,0.973,85.915,100,0.85915,859.15
ea_tn5,1.121,31.441,100,0.31441,314.41
ea_tn5,1.707,31.401,100,0.31401,314.01
ea_tn5,1.525,37.886,100,0.37886,378.86
ea_tn5,0.61,44.784,100,0.44784,447.84
ea_tn5,1.608,63.062,100,0.63062,630.62
ea_tn5,1.113,66.496,100,0.66496,664.96
ea_tn5,1.195,39.179,100,0.39179,391.79
ea_tn5,1.632,53.409,100,0.53409,534.09
ea_tn5,1.55,37.691,100,0.37691,376.91
ea_tn5,1.542,45.032,100,0.45032,450.32
ea_tn5,1.501,36.462,100,0.36462,364.62
ea_tn5,1.583,55.073,100,0.55073,550.73
ea_tn5,1.072,26.431,100,0.26431,264.31
ea_tn5,1.121,90.162,100,0.90162,901.62
ea_tn5,1.55,67.351,100,0.67351,673.51
ea_tn5,1.08,31.885,100,0.31885,318.85
ea_tn5,1.426,44.185,100,0.44185,441.85
ea_tn5,1.517,30.141,100,0.30141,301.41
ea_tn5,1.723,32.885,100,0.32885,328.85
ea_tn5,1.657,90.846,100,0.90846,908.46
ea_tn5,1.286,24.397,100,0.24397,243.97
ea_tn5,1.435,68.017,100,0.68017,680.17
ea_tn5,1.847,49.554,100,0.49554,495.54
